score,slug,title,size,policy,in_ats_pipeline,ats_on_page,careers_url,website,technologies,emailed_at,replied_at,mechanism,vn_ok,notes
9,hugging-face,Hugging Face,medium,remote-first,y,workable.com,https://apply.workable.com/huggingface/,https://huggingface.co/,python;ml;cloud,,,,,
8,brave,Brave,medium,fully-remote,y,,https://brave.com/careers/,https://brave.com/,javascript;rust;go;mobile,,,,,
8,close,Close,small,fully-remote,y,,http://jobs.close.com,https://close.com,cloud;devops;javascript;ml;nosql;python;search;sql,,,,,
8,customer-io,Customer.io,small,fully-remote,y,,https://customer.io/careers,https://customer.io,go;javascript;ruby,,,,,
8,duckduckgo,DuckDuckGo,small,fully-remote,y,,https://duckduckgo.com/hiring/,https://duckduckgo.com/,java;javascript;mobile,,,,,
8,gruntwork,Gruntwork,medium,fully-remote,y,,,https://gruntwork.io,ml,,,,,
8,linear,Linear,medium,fully-remote,y,,https://linear.app/careers,https://linear.app/,javascript;cloud,,,,,
8,supabase,Supabase,medium,fully-remote,y,,https://supabase.com/careers,https://supabase.com/,javascript;go;rust;cloud;sql,,,,,
7,bandlab,BandLab,medium,fully-remote,,workable.com,https://apply.workable.com/bandlabtechnologies/,https://bandlab.com/,cloud;dotnet;go;java;javascript;mobile,,,,,
7,circleci,CircleCI,medium,fully-remote,,greenhouse.io,https://boards.greenhouse.io/circleci,https://circleci.com/,go;python,,,,,
7,devsquad,Devsquad,medium,fully-remote,,workable.com,https://apply.workable.com/devsquad,https://devsquad.com,cloud;devops;javascript;php,,,,,
7,iterative,Iterative,small,fully-remote,,lever.co,,https://www.iterative.ai/,cloud;devops;go;javascript;python,,,,,
7,luxor-technology,Luxor Technology,medium,fully-remote,,ashbyhq.com,https://jobs.ashbyhq.com/luxor,https://luxor.tech/,go;javascript;rust,,,,,
7,metamask,MetaMask,small,fully-remote,,greenhouse.io,https://boards.greenhouse.io/consensys/jobs/1990589,https://metamask.io,javascript;mobile,,,,,
7,posthog,PostHog,medium,remote-first,y,,https://posthog.com/careers,https://posthog.com/,python;javascript;cloud;data,,,,,
7,recharge-payments,ReCharge Payments,small,fully-remote,,greenhouse.io,https://boards.greenhouse.io/recharge,https://rechargepayments.com/,javascript;python;sql,,,,,
7,replit,Replit,medium,remote-first,y,,https://replit.com/careers,https://replit.com,devops;javascript,,,,,
7,retool,Retool,medium,remote-first,y,,https://retool.com/careers,https://retool.com/,react;javascript;nodejs;postgres;docker,,,,,
7,scrapinghub,Scrapinghub,medium,fully-remote,,workable.com,,https://scrapinghub.com/,api;ml,,,,,
7,ushahidi,Ushahidi,small,fully-remote,,workable.com,https://ushahidi.workable.com/,https://www.ushahidi.com,devops;infrastructure;javascript;php;python;sql,,,,,
6,automattic,Automattic,enterprise,fully-remote,y,,https://automattic.com/work-with-us/,https://automattic.com/,data;java;javascript;php;python;search;sql,,,,,
6,balena,Balena,small,remote-first,,workable.com,https://balena.workable.com/,https://www.balena.io/,cloud;devops;go;javascript;linux;rust;sql,,,,,
6,canonical,Canonical,large,fully-remote,y,,https://canonical.com/careers/all,https://www.canonical.com/,cloud;javascript;mobile,,,,,
6,gitlab,GitLab,large,fully-remote,y,,https://about.gitlab.com/jobs/,https://about.gitlab.com/,ruby,,,,,
6,ramp,Ramp,medium,hybrid,y,,https://ramp.com/careers,https://www.ramp.com/,elixir;javascript;python;sql,,,,,
6,seaplane,Seaplane,tiny,fully-remote,,smartrecruiters,https://careers.smartrecruiters.com/SeaplaneIOInc,https://www.seaplane.io/,api;cloud;linux;rust,,,,,
6,wp-media,WP-Media,small,fully-remote,,workable.com,https://apply.workable.com/wp-media/,https://wp-media.me/,php,,,,,
6,zapier,Zapier,large,fully-remote,y,,https://zapier.com/jobs/,https://zapier.com/,cloud;data;devops;infrastructure;javascript;nosql;python;sql,,,,,
5,37signals,37signals,medium,fully-remote,,,,https://37signals.com,ruby,,,,,
5,a-1-auto-transport,A-1 Auto Transport,small,fully-remote,,,,https://a1autotransport.com,api;infrastructure;javascript;ml;php;sql,,,,,
5,akka,Akka,small,fully-remote,,,https://akka.io/contact-us,https://akka.io/,java;scala,,,,,
5,algorithmia,Algorithmia,small,fully-remote,,,,https://algorithmia.com/,devops;java;sql,,,,,
5,applied-ai-company-aaico,Applied AI Company (AAICO),medium,fully-remote,,,,https://aaico.com,api;cloud;devops;elixir;javascript;python;sql,,,,,
5,argyle,Argyle,medium,fully-remote,,,https://argyle.com/careers#open-positions,https://argyle.com/,devops;javascript;python,,,,,
5,articulate,Articulate,,fully-remote,y,,,https://www.articulate.com,dotnet,,,,,
5,asana,Asana,enterprise,remote-first,y,,https://asana.com/jobs,https://asana.com/,go;javascript,,,,,
5,atozdebug,ATOZDEBUG,small,fully-remote,,,https://www.linkedin.com/company/atozdebug/,https://atozdebug.com/,cloud;devops;javascript;mobile;nosql;php;python;sql,,,,,
5,audiense,Audiense,medium,fully-remote,,,https://aboutus.audiense.com/careers,https://www.audiense.com/,ml;python,,,,,
5,basecamp,Basecamp,medium,fully-remote,,,https://basecamp.com/about/jobs,https://basecamp.com/,javascript;ruby;sql,,,,,
5,bit-zesty,Bit Zesty,small,fully-remote,,,https://bitzesty.com/careers/,https://bitzesty.com/,elixir;javascript;mobile;python;ruby,,,,,
5,bitwarden,Bitwarden,medium,fully-remote,,,https://bitwarden.com/careers/,https://bitwarden.com/,dotnet;javascript;rust;mobile;cloud,,,,,
5,boldare,Boldare,medium,fully-remote,,,https://boldare.com/career/,https://boldare.com,cloud;dotnet;java;javascript;mobile;php;python,,,,,
5,bonsai,Bonsai,small,fully-remote,,,,https://hellobonsai.com,javascript;mobile;ruby;sql,,,,,
5,broadwing,Broadwing,small,fully-remote,,,,https://broadwing.io,cloud;devops;go;javascript;python;sql,,,,,
5,buffer,Buffer,small,fully-remote,,,https://buffer.com/journey,https://buffer.com/,data;javascript;php,,,,,
5,bugfender,Bugfender,small,fully-remote,,,https://mobilejazz.com/jobs,https://bugfender.com/,cloud;java;javascript;linux;ml;mobile;php,,,,,
5,cal-com,Cal.com,small,fully-remote,,,https://cal.com/careers,https://cal.com/,javascript;cloud;sql,,,,,
5,capital-placement,Capital Placement,small,fully-remote,,,https://capital-placement.com/careers,https://capital-placement.com,cloud;dotnet;javascript;ml,,,,,
5,carecru,CareCru,small,fully-remote,,,,https://carecru.com,cloud;go;java;javascript,,,,,
5,cartodb,CartoDB,medium,fully-remote,,,https://cartodb.com/jobs/,https://cartodb.com/,devops;javascript;nosql;ruby,,,,,
5,chainguard,Chainguard,medium,fully-remote,,,https://www.chainguard.dev/careers,https://www.chainguard.dev/,go;cloud;devops,,,,,
5,chargify,Chargify,small,fully-remote,,,,https://www.chargify.com/,cloud;devops;ruby,,,,,
5,clevertech,Clevertech,medium,fully-remote,,,https://clevertech.biz/careers,https://clevertech.biz/,java;javascript;php;python;ruby,,,,,
5,cofense,Cofense,medium,fully-remote,,,,https://cofense.com,cloud;devops;ruby;sql,,,,,
5,coinbase,Coinbase,enterprise,remote-first,y,,https://www.coinbase.com/careers/positions,https://www.coinbase.com,cloud;devops;go;javascript;nosql;ruby;sql,,,,,
5,compucorp,Compucorp,small,fully-remote,,,https://careers.compuco.io/open-roles,https://www.compuco.io,devops;javascript;python,,,,,
5,connexa,Connexa,medium,fully-remote,,,https://connexa.breezy.hr,https://www.connexa.com/,cloud;javascript,,,,,
