company,tax_id,license,address,fit_hint
Công ty TNHH Persolkelly Việt Nam,0301952605,2608/2024/11/SLĐTBXH-VLATLĐ,"L17-11, Tầng 17, Tòa Nhà Vincom Center, Số 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1",yes
Công ty Cổ phần Liên Kết Con Người,0305146003,6209/2024/21/SLĐTBXH-VLATLĐ,"P.903, Tầng 9, Tòa nhà Diamond Plaza, 34 Lê Duẩn, phường Bến Nghé, Quận 1",
Công ty TNHH Jac Recruitment Việt Nam,0312324754,25843/2023/54/SLĐTBXH/VLATLĐ,"81-83-83B-85 Hàm Nghi, P. Nguyễn Thái Bình, Quận 1",yes
Công ty Cổ phần Kết nối Nhân Tài,0305202145,33034/2021/02/SLĐTBXH-VLATLĐ,"33 Mạc Đĩnh Chi, Phường Đa Kao, Quận 1",yes
Công ty Cổ phần Anphabe,0310684215,15257,"Tầng 6, 52 Đông Du Phường Bến Nghé, Quận 1",
Công ty TNHH Robert Walters Việt Nam,0310477226,3693/2023/05/SLĐTBXH-VLATLĐ,"Phòng 1, Lầu 9 và Phòng 4, Lầu 3, The Metropolitan, 235 Đồng Khởi, Phường Bến Nghé, Quận 1",yes
Công ty TNHH Ký Hiệu,0305745871,5328/2024/17/SLĐTBXH-VLATLĐ,"số 45 Võ Thị Sáu, phường Đa Kao, quận 1",
Công ty TNHH CK HR Consulting,0315300222,28202/2023/57/SLĐTBXH-VLATLĐ,"Tầng 2, Tòa nhà Rosana, 60 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",yes
Công ty Cổ phần Việc Làm 24H,0314071202,5825/2024/19/SLĐTBXH-VLATLĐ,"Phòng 102, Tòa nhà số 20-20B Trần Cao vân, phường Đa Kao, Quận 1",
Công ty TNHH MTV Forval Việt Nam,0311098767,31221/2022/26/SLĐTBXH-VLATLĐ,"Tòa nhà Vicom Center, 72 Lê Thánh Tôn, phường Bến Nghé, Quận 1",
Công ty TNHH Nihonwasou (Việt Nam),0312213363,15433/2024/31/SLĐTBXH-VLATLĐ,"Tầng 2, 124 Điện Biên Phủ, Phường Đa kao, Quận 1",
Công ty Cổ phần IT Việc,0312192258,19710/2023/39/SLĐTBXH-VLATLĐ,"60 Nguyễn Văn Thủ, Phường Đakao, Quận 1",yes
Công ty TNHH TG Vina Arks,0312958775,28466/2023/58/SLĐTBXH-VLATLĐ,"Phòng 10.02, Tầng 10, Lant Building, Số 56-58-60 Hai Bà Trưng, Phường Bến Nghé, Quận 1",
Công ty TNHH Tricor Services Việt Nam,0312954298,11476/2023/20/SLĐTBXH-VLATLĐ,"Tầng 1, tòa nhà Packsimex, số 52 Đông Du, Phường Bến Nghé, Quận 1",
Công ty TNHH Reeracoen Việt Nam,0312981333,2761/2022/02/SLĐTBXH-VLATLĐ,"54-56, Đường Nguyễn Trãi, Phường Bến Thành, Quận 1",
Công ty TNHH Quick Việt Nam,0311740751,10898/2023/19/SLĐTBXH-VLATLĐ,"Số 1A, Công Trường Mê Linh,  Phường Bến Nghé, Quận 1",
Công ty Cổ phần 40 Giờ,0311448482,30628/2022/24/SLĐTBXH-VLATLĐ,"4B Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1",
Công ty TNHH Cung ứng Nhân lực Nhân Kiệt,0308022768,22139/2023/45/SLĐTBXH-VLATLĐ,"Phòng 202, Tòa nhà 57, 57 Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1",yes
Công ty TNHH Tuyển dụng Nhân sự Việt,0311833639,38569,"Lầu 1, Số 119 Điện Biên Phủ, Phường Đa Kao, Quận 1",yes
Công ty TNHH Tuyển dụng Argyll Scott (Việt Nam),0316666131,10243,"Tầng 46, Tòa nhà Bitexco Financial Tower, 02 Hải Triều, Phường Bến Nghé, Quận 1",yes
Công ty TNHH Chợ Tốt,0312120782,33035/2021/03/SLĐTBXH-VLATLĐ,"Phòng 1808, Tầng 18, Mê Linh Point Tower, số 2 Ngô Đức Kế, Phường Bến Nghé, Quận 1",
Công ty TNHH Hr1 Việt Nam Holdings,0311699052,5884/2022/07/SLĐTBXH-VLATLĐ,"Lầu 12, Tòa nhà HDTC, 36 Bùi Thị Xuân, Phường Bến Thành, Quận 1",
Công ty Cổ Phần Helius Technologies,0317100081,17935/2024/36/SLĐTBXH-VLATLĐ,"Phòng 04-139, Wework Lim 3, Tầng 4, 29A Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",yes
Công ty TNHH Bipo Service (Việt Nam),0314504311,21539/2024/41/SLĐTBXH-VLATLĐ,"Lầu 2, 63A Nam Kỳ Khởi Nghĩa, phường Bến Thành, Quận 1",
Công ty TNHH Tractus Asia (Việt Nam),0316072265,22418/2022/18/SLĐTBXH-VLATLĐ,"164 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1.",
Công ty TNHH Language Talent Solutions,0317173844,7112/2023/11/SLĐTBXH-VLATLĐ,"116 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1",yes
Công ty TNHH Cornerstone Global Partners (Việt Nam),0317577861,8569/2023/12/SLĐTBXH-VLATLĐ,"25A/1+25A1 Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1",yes
Công ty TNHH CXC Global VN,0315094298,17936/2024/37/SLĐTBXH-VLATLĐ,"VietPhone Building-3, số 64 Võ Thị Sáu, Phường Tân Định, Quận 1",yes
Công ty Cổ phần Tư Vấn Nhịp Cầu Vàng,0304868528,9265/2023/16/SLĐTBXH-VLATLĐ,"Lầu 1, 43 Mạc Đĩnh Chi, Phường Đa Kao, Quận 1",
Công ty TNHH Forward Search Consulting,0317354706,13594/2023/26/SLĐTBXH-VLATLĐ,"116 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1",
Công ty TNHH Sperton Vietnam,0316017063,11289/2024/27/SLĐTBXH-VLATLĐ,"56 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1",
Công ty TNHH Djrecruit Asia,0317580656,14579/2023/28/SLĐTBXH-VLATLĐ,"Tầng G, số 63A Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1",yes
Công ty TNHH Elitez Á Châu Việt Nam,0317747062,17058/2023/36/SLĐTBXH-VLATLĐ,"The Sentry Connect, 15B/8 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",
Công ty TNHH PCA HR,0317723921,21715/2023/44/SLĐTBXH-VLATLĐ,"Tầng 2, 124 Điện Biên Phủ, Phường Đa Kao, Quận 1",yes
